"","thalwagX","thalwagY"
"179",305380.8801,4907376.1942
"178",305380.8287,4907375.9336
"177",305380.7872,4907375.6685
"176",305380.6563,4907374.588
"175",305380.6175,4907374.3183
"174",305380.5698,4907374.0508
"173",305380.5089,4907373.787
"172",305380.429,4907373.5202
"171",305380.3341,4907373.2584
"170",305380.2272,4907373.0013
"169",305380.1107,4907372.7491
"168",305379.9861,4907372.5024
"167",305379.7621,4907372.0863
"166",305379.6569,4907371.878
"165",305379.5643,4907371.6657
"164",305379.4803,4907371.4179
"163",305379.4134,4907371.164
"162",305379.1668,4907369.9997
"161",305379.1213,4907369.7329
"160",305379.0852,4907369.4622
"159",305378.9902,4907368.6447
"158",305378.9494,4907368.3759
"157",305378.8967,4907368.1119
"156",305378.73,4907367.4733
"155",305378.6769,4907367.2073
"154",305378.6356,4907366.9363
"153",305378.5329,4907366.1125
"152",305378.4893,4907365.8409
"151",305378.4317,4907365.5744
"150",305378.353,4907365.3158
"149",305378.2498,4907365.071
"148",305378.1274,4907364.8328
"147",305377.6252,4907363.9638
"146",305377.5051,4907363.7665
"145",305377.3777,4907363.5739
"144",305377.2128,4907363.3531
"143",305377.0353,4907363.1418
"142",305376.8477,4907362.9401
"141",305376.6512,4907362.7488
"140",305376.4464,4907362.5697
"139",305376.233,4907362.4062
"138",305376.0096,4907362.2627
"137",305375.7744,4907362.1456
"136",305375.5176,4907362.0578
"135",305375.2491,4907361.9976
"134",305374.9724,4907361.9577
"133",305374.6899,4907361.9329
"132",305374.4037,4907361.9192
"131",305374.1151,4907361.9143
"130",305373.8256,4907361.9168
"129",305373.5362,4907361.926
"128",305373.2477,4907361.9426
"127",305372.9613,4907361.9677
"126",305372.6781,4907362.0036
"125",305372.3994,4907362.0535
"124",305372.1261,4907362.1191
"123",305371.285,4907362.3522
"122",305371.0291,4907362.4077
"121",305370.7697,4907362.4527
"120",305369.9879,4907362.5702
"119",305369.7322,4907362.6193
"118",305369.4825,4907362.6821
"117",305369.2415,4907362.7655
"116",305369.0214,4907362.8689
"115",305368.8091,4907362.9911
"114",305368.6022,4907363.1259
"113",305367.9923,4907363.5559
"112",305367.7865,4907363.6929
"111",305367.3098,4907363.9902
"110",305367.0794,4907364.1547
"109",305366.8546,4907364.333
"108",305366.6334,4907364.5206
"107",305365.9758,4907365.1033
"106",305365.7533,4907365.293
"105",305365.526,4907365.4743
"104",305365.2917,4907365.6427
"103",305365.0728,4907365.7802
"102",305364.8484,4907365.9055
"101",305364.6687,4907365.9964
"100",305364.4854,4907366.0777
"99",305364.2406,4907366.1662
"98",305363.9897,4907366.2416
"97",305363.4797,4907366.3852
"96",305363.2143,4907366.4705
"95",305362.6856,4907366.6636
"94",305361.8939,4907366.973
"93",305361.6288,4907367.072
"92",305361.3621,4907367.1643
"91",305361.0933,4907367.2464
"90",305360.8212,4907367.3141
"89",305360.5408,4907367.3644
"88",305360.2573,4907367.3999
"87",305359.9715,4907367.4249
"86",305359.6844,4907367.4431
"85",305358.822,4907367.486
"84",305358.5365,4907367.5052
"83",305358.2534,4907367.5315
"82",305357.9736,4907367.5684
"81",305357.6985,4907367.6198
"80",305357.4492,4907367.6834
"79",305357.205,4907367.7599
"78",305356.7861,4907367.9077
"77",305356.5747,4907367.9742
"76",305356.3056,4907368.0385
"75",305356.0297,4907368.0851
"74",305355.7488,4907368.1184
"73",305355.4641,4907368.1418
"72",305354.8872,4907368.1678
"71",305354.3052,4907368.1739
"70",305353.7225,4907368.1614
"69",305353.4322,4907368.1459
"68",305353.1436,4907368.1215
"67",305352.8574,4907368.0853
"66",305352.5816,4907368.0363
"65",305352.3089,4907367.9771
"64",305351.8198,4907367.8546
"63",305351.604,4907367.7915
"62",305351.3927,4907367.7179
"61",305351.1895,4907367.6318
"60",305350.9906,4907367.5348
"59",305350.7948,4907367.4307
"58",305350.4279,4907367.2243
"57",305350.2574,4907367.1228
"56",305350.0665,4907367.0006
"55",305349.6949,4907366.7453
"54",305349.4644,4907366.579
