"X","Y","X.Velocity","Y.Velocity","Velocity.Magnitude","Depth","WSE","BedLevel","BedShear_X","BedShear_Y","Depth.Error"
305390.65,4907414.85,0.0951494997046171,0,0.0951494997046171,0.0351892498907582,1021.20242557483,1021.16723632494,15.5815057016286,0,0.0553918848282819
305390.75,4907414.85,0.273353999171864,-0.0426947501713059,0.276668123489934,0.0625474998721288,1021.21690540982,1021.15435790995,42.315409122107,-10.8123112716989,0.0670640998209819
305390.85,4907414.85,0.322963999232624,-0.0779730004675478,0.332243184433093,0.0543904999744934,1021.17690331995,1021.12251281997,42.8968946544096,-16.5905573088158,0.0242543899477141
305390.95,4907414.85,0.238147499501106,-0.0648167505734478,0.246810540037353,0.0569155000022614,1021.16046164496,1021.10354614496,22.4572347083043,-8.52966779952696,0.00518820495926775
305391.05,4907414.85,0.129249249758025,-0.0551952506324283,0.140541396945487,0.0619975000096729,1021.15611371498,1021.09411621497,7.76862673920591,-4.19620554503514,-0.00178423501711222
305391.15,4907414.85,0.0232692498698686,-0.048402500622226,0.0537053075216125,0.0640317500129663,1021.14871803498,1021.08468628497,1.36387599270149,-2.44390928893696,-0.0116213250195187
305391.25,4907414.85,-0.0609527499940321,-0.0437420005778469,0.0750239984697386,0.0639190000119559,1021.14765923248,1021.08374023247,-1.39226250672836,-1.97732953473441,-0.0151215275164986
305391.35,4907414.85,-0.122021249925827,-0.0414270005300594,0.128861871033983,0.0634230000080327,1021.14763624998,1021.08421324998,-4.05070900584533,-2.11650528231153,-0.0174638500154742
305391.45,4907414.85,-0.165219749920745,-0.0408822504950673,0.170202597422645,0.062120250004111,1021.14775256999,1021.08563231998,-7.11839675602441,-2.47553828236402,-0.0196058300148252
305391.55,4907414.85,-0.195698499910593,-0.0410387504734404,0.199955199751539,0.0608810000012253,1021.14893947248,1021.08805847248,-10.0850352551202,-2.83334628365918,-0.0205551575184018
305391.65,4907414.85,-0.21697449992711,-0.0411665004596356,0.220845227203833,0.0601532499978184,1021.15063787498,1021.09048462499,-12.5155712572973,-3.07780853549432,-0.0209319450171961
305391.75,4907414.85,-0.231487999927756,-0.0409955004480331,0.235090036300005,0.0599602499951395,1021.15158928248,1021.09162903249,-14.2523250078441,-3.18578303658073,-0.0220557375195085
305391.85,4907414.85,-0.240766749930892,-0.0405610004359608,0.244159420519977,0.0601324999924866,1021.15511846248,1021.09498596249,-15.3003815087187,-3.18398128679548,-0.0204796775211662
305391.95,4907414.85,-0.245617249937028,-0.0399630004217905,0.248847091341933,0.0605387499901558,1021.15773723498,1021.09719848499,-15.7027675097223,-3.10622278598991,-0.0197529950188482
305392.05,4907414.85,-0.246488499940542,-0.0392645004062476,0.249596237141289,0.0610897499876125,1021.16016506748,1021.09907531749,-15.5241657603448,-2.97569603443361,-0.0190951825206866
305392.15,4907414.85,-0.24354974994152,-0.0384872503889739,0.246571995853301,0.0617349999854108,1021.16268714998,1021.10095215,-14.815005510237,-2.79884828219732,-0.0183431200179029
305392.25,4907414.85,-0.236863499944662,-0.0376320003720832,0.239834286660684,0.0622877499842267,1021.16391128498,1021.101623535,-13.6178655106538,-2.57492077977791,-0.0188279750179845
305392.35,4907414.85,-0.226901249945712,-0.03676675035606,0.229860764722193,0.0633862499823022,1021.16600160499,1021.102615355,-12.0388847608365,-2.30642452721089,-0.0183245650140407
305392.45,4907414.85,-0.215277749927084,-0.0362127503410403,0.218302251250257,0.0661054999774137,1021.16904128999,1021.10293579001,-10.3026547588003,-2.02128677434008,-0.016810760014323
305392.55,4907414.85,-0.206107749879619,-0.036786750325196,0.209364919601942,0.0707682499667777,1021.17114056249,1021.10037231252,-8.81627250500884,-1.80588377116032,-0.0162373675145773
305392.65,4907414.85,-0.208922249759903,-0.0399377502976623,0.212705266374807,0.0744704999645026,1021.17227933499,1021.09780883502,-8.58832074567482,-1.88925751735124,-0.0165634350124719
305392.75,4907414.85,-0.242464249474035,-0.0481002502064275,0.247189292532925,0.0761884999496041,1021.17437880248,1021.09819030253,-15.0817902119354,-3.16433876360543,-0.0158067475178996
305392.85,4907414.85,-0.212953999474621,-0.0269122501024248,0.214647793135201,0.0776219998461478,1021.20480400489,1021.12718200505,-18.6474766985013,-2.14065950905787,0.0134587948938361
305392.95,4907414.85,-0.0779797498033092,0,0.0779797498033092,0.0391019999013718,1021.19489424002,1021.15579224012,-8.05379847968565,0,0.00245039002106751
305390.65,4907414.75,0.0317165002953829,0,0.0317165002953829,0.0117297501092418,1021.16553834517,1021.15380859506,5.19383529837136,0,0.0210681351718449
305390.75,4907414.75,0.105895000755076,-0.0848192497544712,0.135676292379431,0.0341085001262309,1021.17589317019,1021.14178467007,16.2446548679922,-16.8236637122148,0.0284932701918024
305390.85,4907414.75,0.14981000080462,-0.17652399953307,0.231524855581926,0.0488315000211434,1021.16087679009,1021.11204529007,19.7262853606618,-27.9626467036624,0.0106692700906024
305390.95,4907414.75,0.124589500544322,-0.18724624942766,0.224908206988115,0.0577574999932549,1021.15208733504,1021.09432983504,12.2695643003978,-18.7871492042668,-0.000927804963794188
305391.05,4907414.75,0.0629037503497049,-0.190037749373308,0.200177990785526,0.0646324999853748,1021.15063103503,1021.08599853505,4.24564926983072,-13.5407684585297,-0.00506964496696583
305391.15,4907414.75,-0.00467624986986862,-0.182024499377774,0.182084556419743,0.0668162499870337,1021.14448348502,1021.07766723503,-0.203467992701486,-10.805556711063,-0.0138417149802308
